token,total,gw_v0,gw_v1,addrs
0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,430424154749047917376,231086333786504955667,116500486859988311662,136
0x1b89ae72b96c4f02fa7667ab46febcedf9b495737752176303ddd215d66a615a,254818646749,23627023104,165963828230,167
0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,748438950010,228421101024,377980853709,535
0xdd97fe4f673ed231af188855f4ca8b1034153c8d4e40f5b4fae2afd5d3f53ccc,60307356600313455767964,13916004793491818223210,100842214593455767964,536
0xb4f59ca5a3e1b8bdbce38ca8742bcd922c2201d61090cddd4a053b3f786e3275,3800000000000000000,0,0,537
0x0a2117bce7a84cac80e7c5971919d12987e4da58f79e010c6c2f58c7d6e687e1,491697092,5953728,482419208,540
0xf7d2b6a5e6c9ec564ce11e30e845d7e4ed9fd873eb3a426e9991d4a780d7c35b,12348000000000000000,0,0,540
0xe183387147be24ecb3ba04eb480b6042803b1c93954f9c5a0e5a506cd5571b6b,234100000000000000000,0,0,541
0xb31800b3c908eaf217a982cb2a0fb8df7ac047485c432634a079a8c158339020,8934000000000000000,0,0,541
0xb52927f7f444eb178461d0fa8b62b67c4a043add18e36248c7e9734d8d077a7e,3800000000000000000,0,0,541
0x232678824938dfd87a049122c4e244af88dad7faa79a262362f5bc5356ee4c64,169250000000000000000,0,0,543
0x82a6b63b13d9980c98b17810eb2599dc94c144c0ddd24fd24e8a7881d93323ff,266400000000000000,0,0,543
0xbceed8fd2b30c9e246035890196fed4218e5bff472786f74c19d9b156607070b,57950000000000000000,0,0,543
0xf49a7d57cd50907d28c0e2ae57b559165ce08aa0ff074fb3b277f6dc5eb285ee,43710000000000000000,0,0,543
0xd7a79519d220983c703fd90083c481fc3144daad7ea05728832cbc021f27c017,8260000000000000000,0,0,543
0xaf47fbc88c924f720fd8d4c0aea5dca8bd00ceecd9f8c2ab45415f6a5dd2ee97,313400000000000000,0,0,543
0x33e2afa67434322b1368bf5064b31dc20021bcccc871aa5cc6a5380aa58c59f6,29810000000,0,0,543
0x4192873b0a0aaeaa04372aa46ff2cd94a90ac1acaa7569458226febec4d6d5ed,25820000000000000000,0,0,543
0xbdfe9436470e847122230ec5119eed76ace9a99cca1db628cf8d42d334cc16f5,100650000000000000000,0,0,543
0x70746eb3aeeefb93c7024332e3b129ac09dbdfd238e9a0ff7763ae1b2cd8193e,175740000000000000000,0,0,543
0xff7eb7296b2e6896274c37bdf949442f8cbb3f89f60d21d39367e2c93d917ad9,1040700000,0,0,543
0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,806045360830764686897,708123086317044657460,40754488405724097742,724
0x69c215249102308356778d58259c91c0f1988f6f5b07aa614921ee1803ea0059,2067708663280420170079,707547599160000000000,628188193682696278913,741
0xfd6f1818fe746687ef5268f82ce1835ba1a94fdccee5f098a389aeed0067eb57,4087882240225600001389,423754196144168137613,2121602254832319079804,759
0xd61ddc3184767d677be0d741883779aa9513293c4eaa4e0687b5b1caf845edfe,271771211109313721,261351211109313721,0,761
0x9ea7beb4a36469e00bb30dbac75e93672441b483d519556ba9d1424b9294eae5,74295968930508771,11270780834226587,39099120728272600,764
0x29f425f897896c15ca11fd154d8e22ac56b5f49e683d0c88979ad44752fcd520,408623855050451539,156112411024188669,0,767
0xcedd0f67f2d218ab992284ab343c2e729d2a124a1612592deaa9f8b8f8a581dd,38738505945429459025930,36810263866266067817350,768763986508118006116,804
0x5e945aa680b40d9388d4988aee0aebdd2ad9185b6c0ebfd408fa974818de8b6a,167400000000000000000,67200000000000000000,0,805
0xc66b8a7f4869272e1fd0565535cb444c319b6baafd386c5857f08d87e396cfd5,22300000000000000000,0,0,806